date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2009-04-04,Chiefs,Lions,5,1,4,0,4,0,3,1
2009-04-04,Waratahs,Stormers,2,0,1,0,0,2,0,2
2009-04-04,Cheetahs,Brumbies,3,2,3,0,4,2,4,2
2009-04-04,Sharks,Hurricanes,3,3,3,1,2,1,2,2
2009-04-10,Blues,Lions,6,0,3,0,2,0,1,2
2009-04-10,Western Force,Hurricanes,4,1,1,0,3,3,2,0
2009-04-11,Highlanders,Reds,3,1,1,0,3,0,1,2
2009-04-11,Brumbies,Stormers,1,4,0,0,1,1,1,2
2009-04-11,Waratahs,Bulls,0,2,0,0,2,1,2,2
2009-04-11,Cheetahs,Sharks,4,1,4,0,0,2,0,2
2009-04-17,Blues,Highlanders,4,0,3,0,0,2,0,0
2009-04-17,Brumbies,Bulls,4,2,1,0,4,1,4,21
2009-04-18,Hurricanes,Stormers,4,2,4,0,1,3,0,24
2009-04-18,Reds,Lions,3,1,1,0,4,1,4,0
2009-04-18,Waratahs,Force,1,3,0,0,2,1,1,22
2009-04-18,Cheetahs,Chiefs,1,1,1,0,3,3,2,23
2009-04-18,Sharks,Crusaders,1,1,1,0,1,1,1,4
